___,_____,____ ______,,,,,,,,,,,,,,,,,,,,,,,
cheer,"1._____2._____, ____",,,,,,,,,,,,,,,,,,,,,,,,
cherish,______,,,,,,,,,,,,,,,,,,,,,,,,
chief,_____,,,,,,,,,,,,,,,,,,,,,,,,
chronic,"____, _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
chronicle,"_____, ________",,,,,,,,,,,,,,,,,,,,,,,,
chronology,"___ ________, __________",,,,,,,,,,,,,,,,,,,,,,,,
circuit,"1._____2. ____3. ____ _____4. ____",,,,,,,,,,,,,,,,,,,,,,,,
circular,_____,,,,,,,,,,,,,,,,,,,,,,,,
citizen,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
civilian,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
civilization,_____,,,,,,,,,,,,,,,,,,,,,,,,
civilized,______,,,,,,,,,,,,,,,,,,,,,,,,
claim,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
clarify,______,,,,,,,,,,,,,,,,,,,,,,,,
clarity,______,,,,,,,,,,,,,,,,,,,,,,,,
clash,______,,,,,,,,,,,,,,,,,,,,,,,,
classification,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
classify,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
clean,"_____, ___",,,,,,,,,,,,,,,,,,,,,,,,
clear,"1. _____, _____2. ______3. ____ 4. ____, ____, ____",,,,,,,,,,,,,,,,,,,,,,,,
cleric,___ _____,,,,,,,,,,,,,,,,,,,,,,,,
clever,"___, ____",,,,,,,,,,,,,,,,,,,,,,,,
cleverly,______,,,,,,,,,,,,,,,,,,,,,,,,
climate,_____,,,,,,,,,,,,,,,,,,,,,,,,
close,"1. _____2. ____",,,,,,,,,,,,,,,,,,,,,,,,
closure,"1. _____2. _____ ____3. _____, ____",,,,,,,,,,,,,,,,,,,,,,,,
clue,"___, ____",,,,,,,,,,,,,,,,,,,,,,,,
clumsy,_____,,,,,,,,,,,,,,,,,,,,,,,,
coarse,"__, ______",,,,,,,,,,,,,,,,,,,,,,,,
coast,___,,,,,,,,,,,,,,,,,,,,,,,,
coax,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
coerce,"______, ____",,,,,,,,,,,,,,,,,,,,,,,,
coexist,_______ ___,,,,,,,,,,,,,,,,,,,,,,,,
coincidence,_____ _____,,,,,,,,,,,,,,,,,,,,,,,,
collapse,"________, _______",,,,,,,,,,,,,,,,,,,,,,,,
collect,_____,,,,,,,,,,,,,,,,,,,,,,,,
collective,"1. _____, ____2. ___ _____ _""_ _____ _____",,,,,,,,,,,,,,,,,,,,,,,,
collectively,______,,,,,,,,,,,,,,,,,,,,,,,,
collide,______,,,,,,,,,,,,,,,,,,,,,,,,
collision,_______,,,,,,,,,,,,,,,,,,,,,,,,
column,"1. _____2.  ____ (______)3. ____ (____/_____)",,,,,,,,,,,,,,,,,,,,,,,,
combine,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
comfort,"1. _____2. ____",,,,,,,,,,,,,,,,,,,,,,,,
comfortable,___,,,,,,,,,,,,,,,,,,,,,,,,
comfortably,"____, ______",,,,,,,,,,,,,,,,,,,,,,,,
commence,______,,,,,,,,,,,,,,,,,,,,,,,,
commend,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
commensurate,____,,,,,,,,,,,,,,,,,,,,,,,,
comments,_____,,,,,,,,,,,,,,,,,,,,,,,,
commerce,____,,,,,,,,,,,,,,,,,,,,,,,,
commercial,"1. ______2. _____",,,,,,,,,,,,,,,,,,,,,,,,
commission,"1. ____2. ______, _____3. _____4. ____",,,,,,,,,,,,,,,,,,,,,,,,
commiserate,______ ____,,,,,,,,,,,,,,,,,,,,,,,,
commissioner,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
commitment,_______,,,,,,,,,,,,,,,,,,,,,,,,
committed,_____,,,,,,,,,,,,,,,,,,,,,,,,
commodity,_____,,,,,,,,,,,,,,,,,,,,,,,,
common,"1. ____2. _____",,,,,,,,,,,,,,,,,,,,,,,,
commotion,_____,,,,,,,,,,,,,,,,,,,,,,,,
communal,"______, ______",,,,,,,,,,,,,,,,,,,,,,,,
commune,"1. _____ _______2. ______",,,,,,,,,,,,,,,,,,,,,,,,
communicate,"_____, ______ ___",,,,,,,,,,,,,,,,,,,,,,,,
community,_____,,,,,,,,,,,,,,,,,,,,,,,,
commute,"1. ______, _____2. _____ _____ ____ _____ ______",,,,,,,,,,,,,,,,,,,,,,,,
companion,"__ _____, ___",,,,,,,,,,,,,,,,,,,,,,,,
compare,______,,,,,,,,,,,,,,,,,,,,,,,,
compatible,____,,,,,,,,,,,,,,,,,,,,,,,,
compatriot,__ ____ ____,,,,,,,,,,,,,,,,,,,,,,,,
compelling,_____,,,,,,,,,,,,,,,,,,,,,,,,
compensate,_____,,,,,,,,,,,,,,,,,,,,,,,,
compensation,_____,,,,,,,,,,,,,,,,,,,,,,,,
compete,_______,,,,,,,,,,,,,,,,,,,,,,,,
competence,_____,,,,,,,,,,,,,,,,,,,,,,,,
competent,"___ _____, ____",,,,,,,,,,,,,,,,,,,,,,,,
competition,______,,,,,,,,,,,,,,,,,,,,,,,,
competitive,______,,,,,,,,,,,,,,,,,,,,,,,,
complain,_______,,,,,,,,,,,,,,,,,,,,,,,,
complaisance,"______, ______ _____ _____",,,,,,,,,,,,,,,,,,,,,,,,
complete,"______, ___",,,,,,,,,,,,,,,,,,,,,,,,
completely,_______,,,,,,,,,,,,,,,,,,,,,,,,
complex,_____,,,,,,,,,,,,,,,,,,,,,,,,
complicate,____,,,,,,,,,,,,,,,,,,,,,,,,
complicated,_____,,,,,,,,,,,,,,,,,,,,,,,,
complication,_____,,,,,,,,,,,,,,,,,,,,,,,,
compliment,"______, _____",,,,,,,,,,,,,,,,,,,,,,,,
component,"___, ____",,,,,,,,,,,,,,,,,,,,,,,,
compose,"1. ______2.  ______",,,,,,,,,,,,,,,,,,,,,,,,
composition,"1._____2. ____",,,,,,,,,,,,,,,,,,,,,,,,
comprise,_____,,,,,,,,,,,,,,,,,,,,,,,,
compromise,____,,,,,,,,,,,,,,,,,,,,,,,,
compulsion,_____,,,,,,,,,,,,,,,,,,,,,,,,
conceive,"1. _____, _____2. _____",,,,,,,,,,,,,,,,,,,,,,,,
concentration,_____,,,,,,,,,,,,,,,,,,,,,,,,
concept,"1. _____2.  ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
concern,"1.____2. _____, _______",,,,,,,,,,,,,,,,,,,,,,,,
conclusive,"_____, __ _____",,,,,,,,,,,,,,,,,,,,,,,,
concrete,"_______, ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
concur,"1. ______2. ____ _____, ______ __ ____3. ______ __-_____",,,,,,,,,,,,,,,,,,,,,,,,
condemnation,_____,,,,,,,,,,,,,,,,,,,,,,,,
condensation,"1. _____2. _____ (__ ___)",,,,,,,,,,,,,,,,,,,,,,,,
condensed,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
condition,"1. ____2. ___",,,,,,,,,,,,,,,,,,,,,,,,
conditional,_____,,,,,,,,,,,,,,,,,,,,,,,,
condolence,_______,,,,,,,,,,,,,,,,,,,,,,,,
condone,"_____, ______",,,,,,,,,,,,,,,,,,,,,,,,
conduct,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
confer,"1. _______2. ______ _____",,,,,,,,,,,,,,,,,,,,,,,,
conference,_____,,,,,,,,,,,,,,,,,,,,,,,,
confess,______,,,,,,,,,,,,,,,,,,,,,,,,
confide,____ ___,,,,,,,,,,,,,,,,,,,,,,,,
confident,____,,,,,,,,,,,,,,,,,,,,,,,,
confine,______,,,,,,,,,,,,,,,,,,,,,,,,
confiscate,______,,,,,,,,,,,,,,,,,,,,,,,,
conflict,"______, _____, _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
conformity,"1. ______2. _______",,,,,,,,,,,,,,,,,,,,,,,,
confront,______,,,,,,,,,,,,,,,,,,,,,,,,
confusing,_____,,,,,,,,,,,,,,,,,,,,,,,,
confusion,"1. _____2. _____",,,,,,,,,,,,,,,,,,,,,,,,
confute,"_____, ______",,,,,,,,,,,,,,,,,,,,,,,,
congregate,______,,,,,,,,,,,,,,,,,,,,,,,,
conquer,_____,,,,,,,,,,,,,,,,,,,,,,,,
conquest,_____,,,,,,,,,,,,,,,,,,,,,,,,
conscious,_____,,,,,,,,,,,,,,,,,,,,,,,,
consciousness,"1.____, _____2. ______",,,,,,,,,,,,,,,,,,,,,,,,
consequences,"______, ______",,,,,,,,,,,,,,,,,,,,,,,,
consequently,______ _...,,,,,,,,,,,,,,,,,,,,,,,,
conservative,____,,,,,,,,,,,,,,,,,,,,,,,,
consider,"______, _____ ______",,,,,,,,,,,,,,,,,,,,,,,,
considerable,____,,,,,,,,,,,,,,,,,,,,,,,,
consideration,"1. _______2. _____",,,,,,,,,,,,,,,,,,,,,,,,
consistency,"1. ______, ______2. ______3. ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
consistent,"__________, ____",,,,,,,,,,,,,,,,,,,,,,,,
consistent with,____ ____ ___ __..,,,,,,,,,,,,,,,,,,,,,,,,
consists of,_____ _,,,,,,,,,,,,,,,,,,,,,,,,
console,____,,,,,,,,,,,,,,,,,,,,,,,,
conspicuous,____,,,,,,,,,,,,,,,,,,,,,,,,
constant,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
consternation,"_____, ___",,,,,,,,,,,,,,,,,,,,,,,,
constitute,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
constitution,____,,,,,,,,,,,,,,,,,,,,,,,,
construct,_____,,,,,,,,,,,,,,,,,,,,,,,,
construction,____,,,,,,,,,,,,,,,,,,,,,,,,
consume,"1. _____, _____2.  _____",,,,,,,,,,,,,,,,,,,,,,,,
consumer,____,,,,,,,,,,,,,,,,,,,,,,,,
consumption,_____,,,,,,,,,,,,,,,,,,,,,,,,
contact,"1._____ ___2. ___",,,,,,,,,,,,,,,,,,,,,,,,
contagious,____,,,,,,,,,,,,,,,,,,,,,,,,
contain,_____,,,,,,,,,,,,,,,,,,,,,,,,
container,____,,,,,,,,,,,,,,,,,,,,,,,,
contamination,"1. _____ 2. _______",,,,,,,,,,,,,,,,,,,,,,,,
contemplate,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
contemporary,"1. ______, __ _____2. __ ____, __ ____ ",,,,,,,,,,,,,,,,,,,,,,,,
contend,"1. _______, _______2. _____",,,,,,,,,,,,,,,,,,,,,,,,
content,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
content,"1. ____, _____2. ______ ____",,,,,,,,,,,,,,,,,,,,,,,,
contention,"1. ______2. ____",,,,,,,,,,,,,,,,,,,,,,,,
contest,"_______, _____",,,,,,,,,,,,,,,,,,,,,,,,
continent,____,,,,,,,,,,,,,,,,,,,,,,,,
contingent,"1. ____ _..., _____2. ____3. ______",,,,,,,,,,,,,,,,,,,,,,,,
continuity,_______,,,,,,,,,,,,,,,,,,,,,,,,
continuous,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
contract,"1. ____, ____2._____, ____",,,,,,,,,,,,,,,,,,,,,,,,
contradict,_____,,,,,,,,,,,,,,,,,,,,,,,,
contrary,_____,,,,,,,,,,,,,,,,,,,,,,,,
contrast,"1._____2. ____, ______",,,,,,,,,,,,,,,,,,,,,,,,
contribute,_____,,,,,,,,,,,,,,,,,,,,,,,,
control,"1. _____2. _____, ____",,,,,,,,,,,,,,,,,,,,,,,,
controversial,____ _______,,,,,,,,,,,,,,,,,,,,,,,,
controversy,______,,,,,,,,,,,,,,,,,,,,,,,,
convalesce,______,,,,,,,,,,,,,,,,,,,,,,,,
convene,____,,,,,,,,,,,,,,,,,,,,,,,,
convenience,_____,,,,,,,,,,,,,,,,,,,,,,,,
convenient,___,,,,,,,,,,,,,,,,,,,,,,,,
conveniently,_____ ___,,,,,,,,,,,,,,,,,,,,,,,,
convention,"1. ___2. ____, ____3. ____ _____",,,,,,,,,,,,,,,,,,,,,,,,
conventional,"____________, ____",,,,,,,,,,,,,,,,,,,,,,,,
convert,_____,,,,,,,,,,,,,,,,,,,,,,,,
converse,"1. _____2. _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
convey,"_____, ______",,,,,,,,,,,,,,,,,,,,,,,,
conviction,"1. _____ ____2. _____3. _____",,,,,,,,,,,,,,,,,,,,,,,,
cooperate,____ _____,,,,,,,,,,,,,,,,,,,,,,,,
cope,_______,,,,,,,,,,,,,,,,,,,,,,,,
core,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
corollary,"1. _____, ____2. _____, ____ ______ _____",,,,,,,,,,,,,,,,,,,,,,,,
correct,"1. ____2. ______, ____",,,,,,,,,,,,,,,,,,,,,,,,
correspond,"1. _____ ____2. ______",,,,,,,,,,,,,,,,,,,,,,,,
correspondence,"1. _______2. _____",,,,,,,,,,,,,,,,,,,,,,,,
cost,"1. ____2. ____",,,,,,,,,,,,,,,,,,,,,,,,
costly,___,,,,,,,,,,,,,,,,,,,,,,,,
counteract,"1. ____2.  _____",,,,,,,,,,,,,,,,,,,,,,,,
counterpart,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
courage,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
courageous,____,,,,,,,,,,,,,,,,,,,,,,,,
course,"1. _____,____, ___2. _____3. ____4. ___ ______",,,,,,,,,,,,,,,,,,,,,,,,
courteous,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
courtesy,"_______ ______, ______",,,,,,,,,,,,,,,,,,,,,,,,
crack,"1. ____, ___2. ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
cradle,_____,,,,,,,,,,,,,,,,,,,,,,,,
crash,______,,,,,,,,,,,,,,,,,,,,,,,,
creation,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
creative,______,,,,,,,,,,,,,,,,,,,,,,,,
creature,______,,,,,,,,,,,,,,,,,,,,,,,,
creed,"_______ __, _____",,,,,,,,,,,,,,,,,,,,,,,,
crew,____,,,,,,,,,,,,,,,,,,,,,,,,
crime,___,,,,,,,,,,,,,,,,,,,,,,,,
criminal,"____, ______",,,,,,,,,,,,,,,,,,,,,,,,
crisis,____,,,,,,,,,,,,,,,,,,,,,,,,
critical,"1. _____, _____2. _______",,,,,,,,,,,,,,,,,,,,,,,,
criticize,______ ______,,,,,,,,,,,,,,,,,,,,,,,,
critics,______,,,,,,,,,,,,,,,,,,,,,,,,
crop,____,,,,,,,,,,,,,,,,,,,,,,,,
cross,"1. _____2. ___, _______",,,,,,,,,,,,,,,,,,,,,,,,
crowd,___,,,,,,,,,,,,,,,,,,,,,,,,
crucial,_____,,,,,,,,,,,,,,,,,,,,,,,,
crude,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
cruel,_____,,,,,,,,,,,,,,,,,,,,,,,,
cruise,_____,,,,,,,,,,,,,,,,,,,,,,,,
crust,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
culminate,_____ ____,,,,,,,,,,,,,,,,,,,,,,,,
cult,__,,,,,,,,,,,,,,,,,,,,,,,,
cultivate,____,,,,,,,,,,,,,,,,,,,,,,,,
cultivation,"1. _____2. _____",,,,,,,,,,,,,,,,,,,,,,,,
cultural,______,,,,,,,,,,,,,,,,,,,,,,,,
culture,_____,,,,,,,,,,,,,,,,,,,,,,,,
curable,____ ______,,,,,,,,,,,,,,,,,,,,,,,,
cure,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
curious,"1. ____2.  ____",,,,,,,,,,,,,,,,,,,,,,,,
curiosity,______,,,,,,,,,,,,,,,,,,,,,,,,
currency,"1. ____2. _____",,,,,,,,,,,,,,,,,,,,,,,,
current,"1. ___2. ____3. _____, _____4. ____, ____",,,,,,,,,,,,,,,,,,,,,,,,
curriculum,______ _______,,,,,,,,,,,,,,,,,,,,,,,,
curse,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
curves,"______, _________",,,,,,,,,,,,,,,,,,,,,,,,
custom,"1. ___2. ____",,,,,,,,,,,,,,,,,,,,,,,,
cycle,"1._____2. ____",,,,,,,,,,,,,,,,,,,,,,,,
to call off,____,,,,,,,,,,,,,,,,,,,,,,,,
to consist of,"_____, _____ _____ _...",,,,,,,,,,,,,,,,,,,,,,,,
to cut off,____,,,,,,,,,,,,,,,,,,,,,,,,
,D,,,,,,,,,,,,,,,,,,,,,,,,
deal,"1. _______2. ____",,,,,,,,,,,,,,,,,,,,,,,,
dam,___,,,,,,,,,,,,,,,,,,,,,,,,
damage,"___, _____",,,,,,,,,,,,,,,,,,,,,,,,
damp,__,,,,,,,,,,,,,,,,,,,,,,,,
danger,____,,,,,,,,,,,,,,,,,,,,,,,,
dangerous,_____,,,,,,,,,,,,,,,,,,,,,,,,
daring,___ _____,,,,,,,,,,,,,,,,,,,,,,,,
data,____,,,,,,,,,,,,,,,,,,,,,,,,
dawn,"1. ___, _____2. _______ ____ (____ __ _____)",,,,,,,,,,,,,,,,,,,,,,,,
debate,"_______, ______, ____",,,,,,,,,,,,,,,,,,,,,,,,
debt,___,,,,,,,,,,,,,,,,,,,,,,,,
debris,_____,,,,,,,,,,,,,,,,,,,,,,,,
debunk,_____ __ ____,,,,,,,,,,,,,,,,,,,,,,,,
decade,____,,,,,,,,,,,,,,,,,,,,,,,,
decay,"1. _____2. ______, ________",,,,,,,,,,,,,,,,,,,,,,,,
deceased,____,,,,,,,,,,,,,,,,,,,,,,,,
decent,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
deceptive,"____, ____, _____ ____",,,,,,,,,,,,,,,,,,,,,,,,
decide,______,,,,,,,,,,,,,,,,,,,,,,,,
decision,_____,,,,,,,,,,,,,,,,,,,,,,,,
decisive,_____,,,,,,,,,,,,,,,,,,,,,,,,
declaration,_____,,,,,,,,,,,,,,,,,,,,,,,,
declare,"______, ______",,,,,,,,,,,,,,,,,,,,,,,,
decline,"1. ____, _____2.  ____",,,,,,,,,,,,,,,,,,,,,,,,
decrease,______,,,,,,,,,,,,,,,,,,,,,,,,
deduce,_____,,,,,,,,,,,,,,,,,,,,,,,,
deceive,"_____, ______",,,,,,,,,,,,,,,,,,,,,,,,
deem,"_____, ______",,,,,,,,,,,,,,,,,,,,,,,,
deep,____,,,,,,,,,,,,,,,,,,,,,,,,
de facto,____ _____,,,,,,,,,,,,,,,,,,,,,,,,
defeat,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
defect,___,,,,,,,,,,,,,,,,,,,,,,,,
defend,____,,,,,,,,,,,,,,,,,,,,,,,,
defense,____,,,,,,,,,,,,,,,,,,,,,,,,
defer,"1. ____, _____2. ______, ______",,,,,,,,,,,,,,,,,,,,,,,,
deficiency,"_____, _____, ___",,,,,,,,,,,,,,,,,,,,,,,,
deficit,_____,,,,,,,,,,,,,,,,,,,,,,,,
defied,_____,,,,,,,,,,,,,,,,,,,,,,,,
define,______,,,,,,,,,,,,,,,,,,,,,,,,
definition,_____,,,,,,,,,,,,,,,,,,,,,,,,
defy,"____ ____, _____, ______",,,,,,,,,,,,,,,,,,,,,,,,
delay,"______, ____",,,,,,,,,,,,,,,,,,,,,,,,
delegate,"1. ______ _______2. ______",,,,,,,,,,,,,,,,,,,,,,,,
delegation,_____,,,,,,,,,,,,,,,,,,,,,,,,
delete,_____,,,,,,,,,,,,,,,,,,,,,,,,
deliberate,"1. _____, ____, _____2. _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
deliberately,______ _____,,,,,,,,,,,,,,,,,,,,,,,,
deliberation,"1. ____2. _____ (______)3. _____ __",,,,,,,,,,,,,,,,,,,,,,,,
delight,____,,,,,,,,,,,,,,,,,,,,,,,,
deliver,"1. _____, ______2. _____3. ____ _____4. _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
delivery,_____,,,,,,,,,,,,,,,,,,,,,,,,
demand,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
demented,_____,,,,,,,,,,,,,,,,,,,,,,,,
demonstration,"1. _____, _____2._____",,,,,,,,,,,,,,,,,,,,,,,,
denial,_____,,,,,,,,,,,,,,,,,,,,,,,,
denounce,"1. ______, _____2. ______",,,,,,,,,,,,,,,,,,,,,,,,
deny,"1. ______2. ____ ___",,,,,,,,,,,,,,,,,,,,,,,,
dense,____,,,,,,,,,,,,,,,,,,,,,,,,
depart,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
depend,____,,,,,,,,,,,,,,,,,,,,,,,,
dependable,"_____, _____ _____ ____",,,,,,,,,,,,,,,,,,,,,,,,
dependence,"____, _______",,,,,,,,,,,,,,,,,,,,,,,,
dependency,"1. _____ ____2. __ ____",,,,,,,,,,,,,,,,,,,,,,,,
depict,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
depleted,"______, _____",,,,,,,,,,,,,,,,,,,,,,,,
deplore,"______, _____",,,,,,,,,,,,,,,,,,,,,,,,
depreciate,"_____, ______ _____ __...",,,,,,,,,,,,,,,,,,,,,,,,
depreciative,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
deprivation,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
deprive,"1. ____2. _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
depth,____,,,,,,,,,,,,,,,,,,,,,,,,
derive,"1. _____2.  _____ _3. _____, _____ ",,,,,,,,,,,,,,,,,,,,,,,,
derogatory,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
descend,"1. ___, ___2. ______3. ___",,,,,,,,,,,,,,,,,,,,,,,,
descendant,____,,,,,,,,,,,,,,,,,,,,,,,,
describe,____,,,,,,,,,,,,,,,,,,,,,,,,
description,_____,,,,,,,,,,,,,,,,,,,,,,,,
descriptively,_____ ______,,,,,,,,,,,,,,,,,,,,,,,,
desert,"1. _____, _____2. ____",,,,,,,,,,,,,,,,,,,,,,,,
deserted,____,,,,,,,,,,,,,,,,,,,,,,,,
desert island,__ ____,,,,,,,,,,,,,,,,,,,,,,,,
deserve,_____ ____ _...,,,,,,,,,,,,,,,,,,,,,,,,
design,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
desire,_____,,,,,,,,,,,,,,,,,,,,,,,,
despair,"_____, _______",,,,,,,,,,,,,,,,,,,,,,,,
despite,_____,,,,,,,,,,,,,,,,,,,,,,,,
despot,____,,,,,,,,,,,,,,,,,,,,,,,,
destiny,____,,,,,,,,,,,,,,,,,,,,,,,,
destination,_____,,,,,,,,,,,,,,,,,,,,,,,,
destined for,_____ _-,,,,,,,,,,,,,,,,,,,,,,,,
destroy,_____,,,,,,,,,,,,,,,,,,,,,,,,
destruction,_____,,,,,,,,,,,,,,,,,,,,,,,,
detach,"1. ______, ____2. ______",,,,,,,,,,,,,,,,,,,,,,,,
detain,____,,,,,,,,,,,,,,,,,,,,,,,,
detect,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
deter,______,,,,,,,,,,,,,,,,,,,,,,,,
deteriorate,______,,,,,,,,,,,,,,,,,,,,,,,,
determinants,"______ ______, _______",,,,,,,,,,,,,,,,,,,,,,,,
determination,______,,,,,,,,,,,,,,,,,,,,,,,,
determine,_____,,,,,,,,,,,,,,,,,,,,,,,,
determined,____,,,,,,,,,,,,,,,,,,,,,,,,
detour,"___ _____, ____",,,,,,,,,,,,,,,,,,,,,,,,
devastating,_____,,,,,,,,,,,,,,,,,,,,,,,,
develop,"____, ______",,,,,,,,,,,,,,,,,,,,,,,,
developed,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
development,"_____, _______",,,,,,,,,,,,,,,,,,,,,,,,
deviance,_____,,,,,,,,,,,,,,,,,,,,,,,,
deviate,_____,,,,,,,,,,,,,,,,,,,,,,,,
device,____,,,,,,,,,,,,,,,,,,,,,,,,
devise,_____,,,,,,,,,,,,,,,,,,,,,,,,
devote,______,,,,,,,,,,,,,,,,,,,,,,,,
devoted,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
devotion,______,,,,,,,,,,,,,,,,,,,,,,,,
dexterity,_______,,,,,,,,,,,,,,,,,,,,,,,,
diagram,"_____ _____ __ ____, _______, _____",,,,,,,,,,,,,,,,,,,,,,,,
die,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
die out,_____,,,,,,,,,,,,,,,,,,,,,,,,
differ,"1. _____, __ ______2. _____ ____",,,,,,,,,,,,,,,,,,,,,,,,
difference,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
different,____,,,,,,,,,,,,,,,,,,,,,,,,
difficult,"___, _____",,,,,,,,,,,,,,,,,,,,,,,,
diffuse,"_____, ______",,,,,,,,,,,,,,,,,,,,,,,,
diffusion,______,,,,,,,,,,,,,,,,,,,,,,,,
digest,"1. ____2. _____3. ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
dilemma,"_____, _______",,,,,,,,,,,,,,,,,,,,,,,,
dim,"______, ____",,,,,,,,,,,,,,,,,,,,,,,,
dimension,____,,,,,,,,,,,,,,,,,,,,,,,,
diminish,______,,,,,,,,,,,,,,,,,,,,,,,,
diminutive,"____, ___",,,,,,,,,,,,,,,,,,,,,,,,
disadvantage,"_____, ______",,,,,,,,,,,,,,,,,,,,,,,,
disagreement,__-_____,,,,,,,,,,,,,,,,,,,,,,,,
disappear,"1. _____2. _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
disappoint,_____,,,,,,,,,,,,,,,,,,,,,,,,
disassemble,____,,,,,,,,,,,,,,,,,,,,,,,,
disaster,____,,,,,,,,,,,,,,,,,,,,,,,,
disastrous,_____,,,,,,,,,,,,,,,,,,,,,,,,
discharge,"1. _____, _____2._______3. _____ ____",,,,,,,,,,,,,,,,,,,,,,,,
disciple,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
discipline,"1. _____2. ____ __ ____ __ ___, __________ 3. ____",,,,,,,,,,,,,,,,,,,,,,,,
disclosure,_____,,,,,,,,,,,,,,,,,,,,,,,,
discord,"___, _____",,,,,,,,,,,,,,,,,,,,,,,,
discontent,__ ______ ____,,,,,,,,,,,,,,,,,,,,,,,,
discourage,"_____, _____, _____, _____ ___",,,,,,,,,,,,,,,,,,,,,,,,
discoverer,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
discrepancy,"____ _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
discriminate,"1. ______, ______2. _____, ______",,,,,,,,,,,,,,,,,,,,,,,,
discrimination,"1. _____2. _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
discuss,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
discussion,____,,,,,,,,,,,,,,,,,,,,,,,,
disease,____,,,,,,,,,,,,,,,,,,,,,,,,
disguise,"1. ______2. ______, _____",,,,,,,,,,,,,,,,,,,,,,,,
dislocated,_____,,,,,,,,,,,,,,,,,,,,,,,,
dismantle,____,,,,,,,,,,,,,,,,,,,,,,,,
dismiss,____,,,,,,,,,,,,,,,,,,,,,,,,
disobedience,__ ____,,,,,,,,,,,,,,,,,,,,,,,,
disorder,"1. ____-___, _____2. _____, ____",,,,,,,,,,,,,,,,,,,,,,,,
disparaging,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
disparity,"__-_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
dispensable,__ _____,,,,,,,,,,,,,,,,,,,,,,,,
dispersed,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
displace,"_____ ______, _____",,,,,,,,,,,,,,,,,,,,,,,,
display,_____,,,,,,,,,,,,,,,,,,,,,,,,
dispose of,_____ _____,,,,,,,,,,,,,,,,,,,,,,,,
disposition,"1. ___, ____2. _____3. _____, _____4. ______",,,,,,,,,,,,,,,,,,,,,,,,
dispossessed,_____,,,,,,,,,,,,,,,,,,,,,,,,
